property	entity
internal links	Q4739805 [vegetable oil]
internal links	Q5020186 [California-style pizza]
internal links	Q177 [pizza]
internal links	Q2573204 [Sfiha]
internal links	Q19766201 [pizza cake]
internal links	Q49055015 [Mount Vesuvius]
internal links	Q5609167 [Grilled pizza]
internal links	Q1127320 [Central Italy]
internal links	Q24890224 [Category:Flatbread dishes]
internal links	Q356125 [pizza delivery]
internal links	Q5435340 [farinata]
internal links	Q1142459 [crème fraîche]
internal links	Q2088642 [Marinara sauce]
internal links	Q35497 [Ancient Greek]
internal links	Q538296 [Pancetta]
internal links	Q10943 [cheese]
internal links	Q47564 [Mediterranean diet]
internal links	Q7199977 [Pizza Rolls]
P527 [has part]	Q36465 [flour]
P527 [has part]	Q14088 [mozzarella]
P527 [has part]	Q45422 [yeast]
P527 [has part]	Q93165 [olive oil]
P527 [has part]	Q11254 [table salt]
P527 [has part]	Q3596097 [tomato sauce]
P527 [has part]	Dough, oftentomato sauce,cheese
description	 is an oven-baked, flat, round bread typically topped with a tomato sauce, cheese...
description	Pizza is the name of an oven-baked, flat, usually round bread covered with tomato sauce and...
description	Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
description	Pizza is a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.
description	Italian dish of oven-baked bread with various toppings
description	Oven specifically constructed to bake pizzas.
description	An oven-baked flatbread covered with tomato sauce and additional toppings.
description	Dough made of flour, water, yeast and sometimes salt, olive oil and sugar which is used to bake pizzas.
description	A prebaked and deep-frozen pizza that is rebaked in the oven.
description	A pizza.
description	A single instance of this dish.
description	Pizza is a savory dish of Italian origin, consisting of a usually round, flattened base of leavened wheat-based dough topped with tomatoes, cheese, and often various other ingredients baked at a high temperature, traditionally in a wood-fired oven. 
description	Pizza is a flatbread generally topped with tomato sauce and cheese and baked in an oven. It is commonly topped with a selection of meats, vegetables and condiments. The term was first recorded in the 10th century, in a Latin manuscript from Gaeta in Central Italy. The modern pizza was invented in Naples, Italy, and the dish and its variants have since become popular in many areas of the world.
description	Pizza is a flatbread generally topped with tomato sauce and cheese and baked in an oven. It is commonly topped with a selection of meats, vegetables and condiments. The term was first recorded in the 10th century, in a Latin manuscript from Gaeta in Central Italy. The modern pizza was invented in Naples, Italy, and the dish and its variants have since become popular in many areas of the world. In 2009, upon Italy's request, Neapolitan pizza was safeguarded in the European Union as a Traditional Speciality Guaranteed dish. The Associazione Verace Pizza Napoletana (the True Neapolitan Pizza Association) is a non-profit organization founded in 1984 with headquarters in Naples. It promotes and protects the "true Neapolitan pizza". Pizza is sold fresh or frozen, either whole or in portions, and is a common fast food item in Europe and North America. Various types of ovens are used to cook them and many varieties exist. Several similar dishes are prepared from ingredients commonly used in pizza preparation, such as calzone and stromboli.
description	Pizza topped with pepperoni
equivalent concept	Fast Food, Pizza Chain, 14" pizza, cheese topping, regular crust
examples	Fast Food, Pizza Chain, 14" pizza, cheese topping, thick crust
examples	Pizza, cheese topping, thin crust, frozen, cooked
examples	Pizza, cheese topping, regular crust, frozen, cooked
examples	Pizza, pepperoni topping, regular crust, frozen, cooked
examples	Fast Food, Pizza Chain, 14" pizza, sausage topping, thin crust
examples	Pizza, meat and vegetable topping, regular crust, frozen, cooked
examples	Fast Food, Pizza Chain, 14" pizza, pepperoni topping, thin crust
examples	Pizza, cheese topping, rising crust, frozen, cooked
examples	Fast Food, Pizza Chain, 14" pizza, meat and vegetable topping, regular crust
examples	Fast Food, Pizza Chain, 14" pizza, sausage topping, regular crust
